id,title,body,dao,author,state,created,link,source_dataset,combined_id,activist_score,keyword_hits,detection_method,DAO,Proposal ID,Title,Body,Author,Created,State,Choices,Activist Score,Keyword Hits,Detection Method,description,createdAt,proposer,source
0xa9c47b281667a85f80e0cc9be5904438c9205e123352779cbb69b0ecf583307c,[EP 6.14] [Social] Proposal to form the OpenBox Investment Committee,"## Abstract

This social proposal seeks to authorize the formation of the **OpenBox Investment Committee,** a temporary committee tasked with evaluating a potential $5 million equity investment by the ENS DAO into OpenBox Inc. The proposal does **not** commit the DAO to any investment. Instead, it e",ens.eth,0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,closed,1750884477,,fast_major_daos,fast_major_daos_0,0.942,15,enhanced_fast,ens.eth,0xa9c47b281667a85f80e0cc9be5904438c9205e123352779cbb69b0ecf583307c,[EP 6.14] [Social] Proposal to form the OpenBox Investment Committee,"## Abstract

This social proposal seeks to authorize the formation of the **OpenBox Investment Committee,** a temporary committee tasked with evaluating a potential $5 million equity investment by the ENS DAO into OpenBox Inc. The proposal does **not** commit the DAO to any investment. Instead, it e",0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,1750884477.0,closed,"['For', 'Against', 'Abstain']",0.942,15.0,enhanced_fast,,,,
0x98c65ac02f738ddb430fcd723ea5852a45168550b3daf20f75d5d508ecf28aa1,[EP 6.10] [Social] Select providers for Service Provider Program Season II,"| Author          | Avsa.eth                                                                                                                         |
|:--------------- | :--------------------------------------------------------------------------------------------------------------------------------",ens.eth,0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,closed,1746658412,,fast_major_daos,fast_major_daos_1,0.835,7,enhanced_fast,ens.eth,0x98c65ac02f738ddb430fcd723ea5852a45168550b3daf20f75d5d508ecf28aa1,[EP 6.10] [Social] Select providers for Service Provider Program Season II,"| Author          | Avsa.eth                                                                                                                         |
|:--------------- | :--------------------------------------------------------------------------------------------------------------------------------",0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,1746658412.0,closed,"['NONE BELOW', 'Web3bio', 'Lighthouse Labs', 'Agora - basic', 'Agora - ext', 'Ethereum Identity Fnd - basic', 'Ethereum Identity Fnd - ext', 'Tally', 'Wildcard Labs - basic', 'Wildcard Labs - ext', 'Decent', 'Enscribe', 'dWeb.host - basic', 'dWeb.host - ext', 'GovPal', 'Curia Lab', 'WebHash', 'PYOR', 'Namespace', 'Unruggable - basic', 'Unruggable - ext', 'Unicorn.eth', 'Namestone', 'eth.limo - basic', 'eth.limo - ext', 'blockful - basic', 'blockful - ext', 'ZK Email - basic', 'ZK Email - ext', '3DNS - basic', '3DNS - ext', 'x23.ai', 'AlphaGrowth - basic', 'AlphaGrowth - ext', 'NameHash Labs', 'JustaName']",0.835,7.0,enhanced_fast,,,,
0x2c56d8776c8be3a824d010f94f00108716acaa31ede92cd03692e779af8a051d,[6.6.1] [Social] April Funding Request - ENS Meta-Governance Working Group Term 6,"## Abstract

The Meta-Governance Working Group is responsible for providing governance oversight and supporting the management and operation of working groups through DAO tooling and governance initiatives as well as treasury management for the DAO.

This social proposal is submitted to satisfy the ",ens.eth,0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,closed,1744808571,,fast_major_daos,fast_major_daos_2,0.738,11,enhanced_fast,ens.eth,0x2c56d8776c8be3a824d010f94f00108716acaa31ede92cd03692e779af8a051d,[6.6.1] [Social] April Funding Request - ENS Meta-Governance Working Group Term 6,"## Abstract

The Meta-Governance Working Group is responsible for providing governance oversight and supporting the management and operation of working groups through DAO tooling and governance initiatives as well as treasury management for the DAO.

This social proposal is submitted to satisfy the ",0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,1744808571.0,closed,"['For', 'Against', 'Abstain']",0.738,11.0,enhanced_fast,,,,
0x60c95ab69a427ce263f4c3c950df8da1134e96a3e76d139c8dac366271009530,[EP 6.5] [Social] Service Provider Season 2 Vote Amendment Proposal II,"## Abstract

Season 2 of the Service Provider Program was approved with a $4.5M budget on February 25th of this year. During the Delegate All Hands meeting on April 1st, delegates expressed a desire for more granular voting — not only to approve candidates, but also to vote on individual budget allo",ens.eth,0x809FA673fe2ab515FaA168259cB14E2BeDeBF68e,closed,1744547479,,fast_major_daos,fast_major_daos_3,0.824,10,enhanced_fast,ens.eth,0x60c95ab69a427ce263f4c3c950df8da1134e96a3e76d139c8dac366271009530,[EP 6.5] [Social] Service Provider Season 2 Vote Amendment Proposal II,"## Abstract

Season 2 of the Service Provider Program was approved with a $4.5M budget on February 25th of this year. During the Delegate All Hands meeting on April 1st, delegates expressed a desire for more granular voting — not only to approve candidates, but also to vote on individual budget allo",0x809FA673fe2ab515FaA168259cB14E2BeDeBF68e,1744547479.0,closed,"['For', 'Against', 'Abstain']",0.824,10.0,enhanced_fast,,,,
0xb33e76201100b32a09f8aa367ad564e910f45b845318715439fee7e4978efd6b,"2025 Public Goods Working Group Steward Election, Term 6","This is a vote to elect three stewards for the Public Goods Working Group for the Term of calendar 2025 (ENS DAO Term 6). Term 6, the only term of 2025, commences at 9am UTC on January 1, 2025.

Elections are conducted by approval voting. Approval voting allows you to select all the candidates you s",ens.eth,0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,closed,1733800828,,fast_major_daos,fast_major_daos_4,0.797,3,enhanced_fast,ens.eth,0xb33e76201100b32a09f8aa367ad564e910f45b845318715439fee7e4978efd6b,"2025 Public Goods Working Group Steward Election, Term 6","This is a vote to elect three stewards for the Public Goods Working Group for the Term of calendar 2025 (ENS DAO Term 6). Term 6, the only term of 2025, commences at 9am UTC on January 1, 2025.

Elections are conducted by approval voting. Approval voting allows you to select all the candidates you s",0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,1733800828.0,closed,"['Dan Hannum or Hannum.eth', 'sovereignsignal.eth', 'simona.eth', 'vegayp.eth', 'coltron.eth']",0.797,3.0,enhanced_fast,,,,
0xd06e971e596ea5d9704372184503fdacbbe69c9ee7aa9e6af1acba4355b5954f,"2025 Ecosystem Working Group Steward Election, Term 6","This is a vote to elect three stewards for the Ecosystem Working Group for the Term of calendar 2025 (ENS DAO Term 6). Term 6, the only term of 2025, commences at 9am UTC on January 1, 2025.

Elections are conducted by approval voting. Approval voting allows you to select all the candidates you supp",ens.eth,0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,closed,1733800598,,fast_major_daos,fast_major_daos_5,0.782,3,enhanced_fast,ens.eth,0xd06e971e596ea5d9704372184503fdacbbe69c9ee7aa9e6af1acba4355b5954f,"2025 Ecosystem Working Group Steward Election, Term 6","This is a vote to elect three stewards for the Ecosystem Working Group for the Term of calendar 2025 (ENS DAO Term 6). Term 6, the only term of 2025, commences at 9am UTC on January 1, 2025.

Elections are conducted by approval voting. Approval voting allows you to select all the candidates you supp",0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,1733800598.0,closed,"['cap / thecap.eth', 'Donnie / daemon.eth', 'limes.eth', 'slobo.eth', 'bama.eth']",0.782,3.0,enhanced_fast,,,,
0xd42e261f9bf298bb5a793ee230a5f1a164db6c47e9656aaa83cf2ad4c4798832,"2025 Meta-Governance Working Group Steward Election, Term 6","This is a vote to elect three stewards for the Meta-Governance Working Group for the Term of calendar 2025 (ENS DAO Term 6). Term 6, the only term of 2025, commences at 9am UTC on January 1, 2025.

Elections are conducted by approval voting. Approval voting allows you to select all the candidates yo",ens.eth,0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,closed,1733800338,,fast_major_daos,fast_major_daos_6,0.757,3,enhanced_fast,ens.eth,0xd42e261f9bf298bb5a793ee230a5f1a164db6c47e9656aaa83cf2ad4c4798832,"2025 Meta-Governance Working Group Steward Election, Term 6","This is a vote to elect three stewards for the Meta-Governance Working Group for the Term of calendar 2025 (ENS DAO Term 6). Term 6, the only term of 2025, commences at 9am UTC on January 1, 2025.

Elections are conducted by approval voting. Approval voting allows you to select all the candidates yo",0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,1733800338.0,closed,"['Tanegov.eth', 'Spence / 5pence.eth', 'Cam / daostrat.eth', 'SpikeWatanabe.eth', 'estmcmxci.eth', 'netto.eth / alexnetto.eth', 'Abstain']",0.757,3.0,enhanced_fast,,,,
0x7618fde568697109bfd69d95ef83e2c23d4acdbf82e1cc541b4f4ef2f55c0e61,Special Election: Meta-Governance Working Group Steward (Term 5 Vacancy),"This is a special election vote to fill one vacant steward position in the Meta-Governance Working Group following the resignation of Avsa.eth. Per the Working Group Rules, this election will fill the vacant position for the remainder of Term 5 (2024).

Elections are conducted by approval voting. Ap",ens.eth,0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,closed,1730801482,,fast_major_daos,fast_major_daos_7,0.81,3,enhanced_fast,ens.eth,0x7618fde568697109bfd69d95ef83e2c23d4acdbf82e1cc541b4f4ef2f55c0e61,Special Election: Meta-Governance Working Group Steward (Term 5 Vacancy),"This is a special election vote to fill one vacant steward position in the Meta-Governance Working Group following the resignation of Avsa.eth. Per the Working Group Rules, this election will fill the vacant position for the remainder of Term 5 (2024).

Elections are conducted by approval voting. Ap",0xe52C39327FF7576bAEc3DBFeF0787bd62dB6d726,1730801482.0,closed,"['Nick.eth ', 'SpikeWatanabe.eth']",0.81,3.0,enhanced_fast,,,,
0x085a1e40c264ffd44567b6dce889f5943e72cfa8442eaeb81819261a38f0bd0a,[EP5.20][Social] ENS Endowment Investment Policy Statement ,"## Abstract
This proposal suggests introducing and implementing an [Investment Policy Statement (IPS)](https://drive.google.com/file/d/1NtaKb-9HJf9wJmVOq4sQbhsYQ4yZtTF2) for the ENS Endowment. 

The Investment Policy Statement (“IPS”) outlines the principles and guidelines for the effective manageme",ens.eth,0x8787FC2De4De95c53e5E3a4e5459247D9773ea52,closed,1729715041,,fast_major_daos,fast_major_daos_8,0.865,5,enhanced_fast,ens.eth,0x085a1e40c264ffd44567b6dce889f5943e72cfa8442eaeb81819261a38f0bd0a,[EP5.20][Social] ENS Endowment Investment Policy Statement ,"## Abstract
This proposal suggests introducing and implementing an [Investment Policy Statement (IPS)](https://drive.google.com/file/d/1NtaKb-9HJf9wJmVOq4sQbhsYQ4yZtTF2) for the ENS Endowment. 

The Investment Policy Statement (“IPS”) outlines the principles and guidelines for the effective manageme",0x8787FC2De4De95c53e5E3a4e5459247D9773ea52,1729715041.0,closed,"['For', 'Against', 'Abstain']",0.865,5.0,enhanced_fast,,,,
0xfa54ff2b55f0495c96ec2d8645241bcff48ca6afe1f4925fb51f29c4667252df,[EP 5.19] [Social] Governance Distribution Pilot Program,"## Objective:
This proposal establishes a pilot program to distribute ENS governance to eligible DAO contributors who have been selected by the DAO to receive a grant, bounty, or other payment for services. The program would also serve as a pilot, and if successful, could become a long-term initiati",ens.eth,0x809FA673fe2ab515FaA168259cB14E2BeDeBF68e,closed,1729698478,,fast_major_daos,fast_major_daos_9,0.861,8,enhanced_fast,ens.eth,0xfa54ff2b55f0495c96ec2d8645241bcff48ca6afe1f4925fb51f29c4667252df,[EP 5.19] [Social] Governance Distribution Pilot Program,"## Objective:
This proposal establishes a pilot program to distribute ENS governance to eligible DAO contributors who have been selected by the DAO to receive a grant, bounty, or other payment for services. The program would also serve as a pilot, and if successful, could become a long-term initiati",0x809FA673fe2ab515FaA168259cB14E2BeDeBF68e,1729698478.0,closed,"['YES | 90K ENS', 'YES | 60K ENS', 'YES | 30K ENS', 'NO | 0 ENS']",0.861,8.0,enhanced_fast,,,,
