timestamp,datetime,date,price_usd,volume_usd,high_usd,low_usd,open_usd,source,price_change_pct,volume_change_pct,proposal_id,dao,proposal_title,proposal_start,proposal_end,activist_score,detection_methods,days_from_proposal
1647043200000,2022-03-12,2022-03-12,13.592327117919922,400955191.59841156,14.166060447692871,13.586630821228027,13.732268333435059,yahoo_finance,,,0xa64ec8b446e509cb4b75092c4a714897790b70e2711fc3d6afa969c250e7eb92,ens.eth,[EP14] [Social] Dissolve Community Working Group,2022-06-10 08:25:36,2022-06-20 08:25:36,0.16,"['pattern_matching_community_initiative', 'sentiment_analysis', 'structural_analysis']",-91
1647129600000,2022-03-13,2022-03-13,12.73991870880127,467790603.18976974,13.936187744140625,12.703791618347168,13.591533660888672,yahoo_finance,-6.271247018436233,16.669047562376793,0xa64ec8b446e509cb4b75092c4a714897790b70e2711fc3d6afa969c250e7eb92,ens.eth,[EP14] [Social] Dissolve Community Working Group,2022-06-10 08:25:36,2022-06-20 08:25:36,0.16,"['pattern_matching_community_initiative', 'sentiment_analysis', 'structural_analysis']",-90
1647216000000,2022-03-14,2022-03-14,13.524351119995117,496972311.4682293,13.561721801757812,12.612136840820312,12.739378929138184,yahoo_finance,6.157279564522877,6.238198903414349,0xa64ec8b446e509cb4b75092c4a714897790b70e2711fc3d6afa969c250e7eb92,ens.eth,[EP14] [Social] Dissolve Community Working Group,2022-06-10 08:25:36,2022-06-20 08:25:36,0.16,"['pattern_matching_community_initiative', 'sentiment_analysis', 'structural_analysis']",-89
1647302400000,2022-03-15,2022-03-15,13.35560131072998,419025954.3923607,13.5739107131958,12.855201721191406,13.526958465576172,yahoo_finance,-1.2477479160951988,-15.68424543524124,0xa64ec8b446e509cb4b75092c4a714897790b70e2711fc3d6afa969c250e7eb92,ens.eth,[EP14] [Social] Dissolve Community Working Group,2022-06-10 08:25:36,2022-06-20 08:25:36,0.16,"['pattern_matching_community_initiative', 'sentiment_analysis', 'structural_analysis']",-88
1647388800000,2022-03-16,2022-03-16,14.472599029541016,963526928.052578,14.590847969055176,13.147455215454102,13.352890014648438,yahoo_finance,8.363514998861433,129.94445044575124,0xa64ec8b446e509cb4b75092c4a714897790b70e2711fc3d6afa969c250e7eb92,ens.eth,[EP14] [Social] Dissolve Community Working Group,2022-06-10 08:25:36,2022-06-20 08:25:36,0.16,"['pattern_matching_community_initiative', 'sentiment_analysis', 'structural_analysis']",-87
1647475200000,2022-03-17,2022-03-17,14.997270584106445,2908657701.240074,16.474727630615234,14.19888687133789,14.46910572052002,yahoo_finance,3.625275277056228,201.8761195516223,0xa64ec8b446e509cb4b75092c4a714897790b70e2711fc3d6afa969c250e7eb92,ens.eth,[EP14] [Social] Dissolve Community Working Group,2022-06-10 08:25:36,2022-06-20 08:25:36,0.16,"['pattern_matching_community_initiative', 'sentiment_analysis', 'structural_analysis']",-86
1647561600000,2022-03-18,2022-03-18,14.989392280578613,1664372219.1485472,16.0188045501709,14.305684089660645,15.002279281616211,yahoo_finance,-0.052531582221237993,-42.7786838431019,0xa64ec8b446e509cb4b75092c4a714897790b70e2711fc3d6afa969c250e7eb92,ens.eth,[EP14] [Social] Dissolve Community Working Group,2022-06-10 08:25:36,2022-06-20 08:25:36,0.16,"['pattern_matching_community_initiative', 'sentiment_analysis', 'structural_analysis']",-85
1647648000000,2022-03-19,2022-03-19,16.429737091064453,2832335438.7695885,17.275096893310547,14.982443809509277,14.982443809509277,yahoo_finance,9.609094108185158,70.17440006410003,0xa64ec8b446e509cb4b75092c4a714897790b70e2711fc3d6afa969c250e7eb92,ens.eth,[EP14] [Social] Dissolve Community Working Group,2022-06-10 08:25:36,2022-06-20 08:25:36,0.16,"['pattern_matching_community_initiative', 'sentiment_analysis', 'structural_analysis']",-84
1647734400000,2022-03-20,2022-03-20,15.858591079711914,1523011384.6535645,16.59897232055664,15.391448020935059,16.43094825744629,yahoo_finance,-3.476294283876069,-46.227718517860836,0xa64ec8b446e509cb4b75092c4a714897790b70e2711fc3d6afa969c250e7eb92,ens.eth,[EP14] [Social] Dissolve Community Working Group,2022-06-10 08:25:36,2022-06-20 08:25:36,0.16,"['pattern_matching_community_initiative', 'sentiment_analysis', 'structural_analysis']",-83
1647820800000,2022-03-21,2022-03-21,15.838674545288086,1501413516.4218006,16.86311149597168,15.577874183654785,15.856569290161133,yahoo_finance,-0.12558829673909866,-1.4181028749615465,0xa64ec8b446e509cb4b75092c4a714897790b70e2711fc3d6afa969c250e7eb92,ens.eth,[EP14] [Social] Dissolve Community Working Group,2022-06-10 08:25:36,2022-06-20 08:25:36,0.16,"['pattern_matching_community_initiative', 'sentiment_analysis', 'structural_analysis']",-82
